UF,epiyearweek,Dmax,Execution
11,2016W41,16,2016-10-20
12,2016W41,10,2016-10-20
13,2016W41,11,2016-10-20
14,2016W41,11,2016-10-20
15,2016W41,8,2016-10-20
16,2016W41,21,2016-10-20
17,2016W41,18,2016-10-20
21,2016W41,17,2016-10-20
22,2016W41,8,2016-10-20
23,2016W41,22,2016-10-20
24,2016W41,14,2016-10-20
25,2016W41,8,2016-10-20
26,2016W41,9,2016-10-20
27,2016W41,13,2016-10-20
28,2016W41,9,2016-10-20
29,2016W41,12,2016-10-20
31,2016W41,12,2016-10-20
32,2016W41,8,2016-10-20
33,2016W41,10,2016-10-20
35,2016W41,8,2016-10-20
41,2016W41,8,2016-10-20
42,2016W41,8,2016-10-20
43,2016W41,8,2016-10-20
50,2016W41,8,2016-10-20
51,2016W41,18,2016-10-20
52,2016W41,9,2016-10-20
53,2016W41,8,2016-10-20
AfAmN,2016W41,10,2016-10-20
AsBSh,2016W41,11,2016-10-20
Aw,2016W41,9,2016-10-20
Cf,2016W41,8,2016-10-20
BR,2016W41,8,2016-10-20
