Código,Sigla,UF,Região,Região oficial,Ano,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
11,RO,Rondônia,AfAmN,Norte,2000,1401535,160573,164716,319949,260368,209975,138394,77182,70378
11,RO,Rondônia,AfAmN,Norte,2001,1431048,162084,164597,322599,267437,214927,145288,80913,73203
11,RO,Rondônia,AfAmN,Norte,2002,1459811,163196,164136,324377,275117,219419,152376,85030,76160
11,RO,Rondônia,AfAmN,Norte,2003,1487850,164048,163286,325479,283067,223653,159554,89514,79249
11,RO,Rondônia,AfAmN,Norte,2004,1515151,164765,161989,326209,290774,227933,166674,94329,82478
11,RO,Rondônia,AfAmN,Norte,2005,1541715,165556,160112,326755,297881,232474,173637,99443,85857
11,RO,Rondônia,AfAmN,Norte,2006,1567546,162658,161517,327033,304384,237273,180430,104845,89406
11,RO,Rondônia,AfAmN,Norte,2007,1592640,159847,162536,327025,310224,242316,187053,110499,93140
11,RO,Rondônia,AfAmN,Norte,2008,1616992,157101,163301,326599,315334,247762,193399,116393,97103
11,RO,Rondônia,AfAmN,Norte,2009,1640607,154445,163927,325513,319694,253813,199345,122513,101357
11,RO,Rondônia,AfAmN,Norte,2010,1663490,151892,164626,323518,323284,260565,204828,128834,105943
11,RO,Rondônia,AfAmN,Norte,2011,1685697,149458,161657,324493,326023,267957,209865,135347,110897
11,RO,Rondônia,AfAmN,Norte,2012,1707272,147144,158803,324785,327825,275951,214454,142051,116259
11,RO,Rondônia,AfAmN,Norte,2013,1728214,144943,156036,324488,328889,284205,218787,148847,122019
11,RO,Rondônia,AfAmN,Norte,2014,1748531,142826,153383,323664,329542,292192,223160,155595,128169
11,RO,Rondônia,AfAmN,Norte,2015,1768204,140771,150851,322387,329968,299563,227775,162199,134690
11,RO,Rondônia,AfAmN,Norte,2016,1787279,138798,148447,320751,330112,306297,232629,168647,141598
11,RO,Rondônia,AfAmN,Norte,2017,1805788,136935,146162,318867,329971,312322,237714,174942,148875
11,RO,Rondônia,AfAmN,Norte,2018,1823741,135197,143984,316839,329424,317564,243191,180986,156556
11,RO,Rondônia,AfAmN,Norte,2019,1841142,133580,141892,314814,328252,322000,249258,186662,164684
11,RO,Rondônia,AfAmN,Norte,2020,1857992,132095,139864,313005,326218,325606,256009,191916,173279
11,RO,Rondônia,AfAmN,Norte,2021,1874318,130732,137911,307699,327162,328324,263386,196769,182335
11,RO,Rondônia,AfAmN,Norte,2022,1890155,129474,136069,302628,327445,330114,271346,201219,191860
11,RO,Rondônia,AfAmN,Norte,2023,1905483,128305,134350,297743,327162,331164,279554,205439,201766
11,RO,Rondônia,AfAmN,Norte,2024,1920296,127203,132758,293054,326366,331799,287499,209712,211905
11,RO,Rondônia,AfAmN,Norte,2025,1934569,126161,131289,288549,325131,332210,294833,214223,222173
11,RO,Rondônia,AfAmN,Norte,2026,1948295,125148,129939,284249,323549,332337,301533,218968,232572
11,RO,Rondônia,AfAmN,Norte,2027,1961483,124142,128698,280170,321721,332183,307528,223944,243097
11,RO,Rondônia,AfAmN,Norte,2028,1974114,123141,127544,276322,319747,331644,312741,229294,253681
11,RO,Rondônia,AfAmN,Norte,2029,1986163,122142,126458,272678,317752,330504,317155,235209,264265
11,RO,Rondônia,AfAmN,Norte,2030,1997617,121140,125431,269223,315954,328537,320751,241776,274805
12,AC,Acre,AfAmN,Norte,2000,587407,84773,77034,138884,106522,72347,48572,28602,30673
12,AC,Acre,AfAmN,Norte,2001,602009,86180,78556,140339,110461,74952,50470,29818,31233
12,AC,Acre,AfAmN,Norte,2002,616781,87409,80069,141616,114602,77660,52326,31142,31957
12,AC,Acre,AfAmN,Norte,2003,631650,88441,81533,142892,118737,80478,54178,32574,32817
12,AC,Acre,AfAmN,Norte,2004,646548,89283,82888,144428,122553,83408,56093,34108,33787
12,AC,Acre,AfAmN,Norte,2005,661427,90023,84017,146382,125852,86452,58118,35740,34843
12,AC,Acre,AfAmN,Norte,2006,676252,90106,85454,148719,128677,89597,60241,37472,35986
12,AC,Acre,AfAmN,Norte,2007,690997,90014,86715,151431,131035,92817,62454,39310,37221
12,AC,Acre,AfAmN,Norte,2008,705635,89775,87782,154373,133014,96147,64763,41209,38572
12,AC,Acre,AfAmN,Norte,2009,720132,89420,88659,157302,134764,99667,67158,43103,40059
12,AC,Acre,AfAmN,Norte,2010,734447,88960,89432,159968,136395,103394,69643,44953,41702
12,AC,Acre,AfAmN,Norte,2011,748616,88426,89548,162943,137882,107308,72229,46772,43508
12,AC,Acre,AfAmN,Norte,2012,762631,87845,89487,165736,139192,111423,74915,48559,45474
12,AC,Acre,AfAmN,Norte,2013,776463,87220,89276,168282,140508,115528,77711,50348,47590
12,AC,Acre,AfAmN,Norte,2014,790101,86554,88942,170528,142081,119325,80619,52208,49844
12,AC,Acre,AfAmN,Norte,2015,803513,85849,88496,172450,144060,122620,83643,54177,52218
12,AC,Acre,AfAmN,Norte,2016,816687,85089,87970,174024,146416,125452,86769,56242,54725
12,AC,Acre,AfAmN,Norte,2017,829619,84259,87397,175238,149144,127833,89973,58397,57378
12,AC,Acre,AfAmN,Norte,2018,842290,83368,86784,176111,152099,129840,93288,60650,60150
12,AC,Acre,AfAmN,Norte,2019,854691,82425,86129,176669,155042,131628,96794,62989,63015
12,AC,Acre,AfAmN,Norte,2020,866811,81446,85434,177015,157733,133303,100498,65418,65964
12,AC,Acre,AfAmN,Norte,2021,878654,80444,84687,176627,160726,134835,104391,67939,69005
12,AC,Acre,AfAmN,Norte,2022,890220,79433,83874,176015,163536,136194,108477,70557,72134
12,AC,Acre,AfAmN,Norte,2023,901494,78431,82996,175214,166099,137548,112550,73275,75381
12,AC,Acre,AfAmN,Norte,2024,912480,77446,82062,174247,168364,139154,116325,76102,78780
12,AC,Acre,AfAmN,Norte,2025,923171,76481,81090,173129,170307,141154,119609,79042,82359
12,AC,Acre,AfAmN,Norte,2026,933580,75542,80094,171870,171907,143522,122436,82085,86124
12,AC,Acre,AfAmN,Norte,2027,943714,74637,79093,170496,173154,146250,124819,85200,90065
12,AC,Acre,AfAmN,Norte,2028,953573,73768,78098,169016,174060,149201,126834,88423,94173
12,AC,Acre,AfAmN,Norte,2029,963154,72935,77122,167443,174651,152144,128628,91825,98406
12,AC,Acre,AfAmN,Norte,2030,972464,72140,76163,165798,175027,154834,130310,95421,102771
13,AM,Amazonas,AfAmN,Norte,2000,2872524,407544,380967,678254,536335,366207,238909,131090,133218
13,AM,Amazonas,AfAmN,Norte,2001,2946727,409695,388903,687876,556538,379039,250604,137716,136356
13,AM,Amazonas,AfAmN,Norte,2002,3021363,411637,395900,696878,576990,392243,262593,145153,139969
13,AM,Amazonas,AfAmN,Norte,2003,3096127,413550,401571,705977,596934,406054,274697,153311,144033
13,AM,Amazonas,AfAmN,Norte,2004,3170740,415747,405490,716206,615290,420776,286664,162026,148541
13,AM,Amazonas,AfAmN,Norte,2005,3244995,418904,406987,728078,631406,436578,298353,171185,153504
13,AM,Amazonas,AfAmN,Norte,2006,3318679,420182,409017,741276,645299,453392,309787,180783,158943
