"UF","epiyear","epiweek","SRAG","Tipo","Situation","mean","50%","2.5%","97.5%","L0","L1","L2","L3","Run date"
"11",2009,1,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,2,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,3,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,6,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,11,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,12,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,13,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,14,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,15,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,16,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,17,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,18,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,19,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,20,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,21,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,22,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,23,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,24,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,25,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,26,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,27,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,28,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,29,0.121906099388824,"Estado","stable",0.121906099388824,0.121906099388824,0.121906099388824,0.121906099388824,0,1,0,0,2017-09-15
"11",2009,30,0.121906099388824,"Estado","stable",0.121906099388824,0.121906099388824,0.121906099388824,0.121906099388824,0,1,0,0,2017-09-15
"11",2009,31,0.365718298166471,"Estado","stable",0.365718298166471,0.365718298166471,0.365718298166471,0.365718298166471,0,1,0,0,2017-09-15
"11",2009,32,0.304765248472059,"Estado","stable",0.304765248472059,0.304765248472059,0.304765248472059,0.304765248472059,0,1,0,0,2017-09-15
"11",2009,33,0.365718298166471,"Estado","stable",0.365718298166471,0.365718298166471,0.365718298166471,0.365718298166471,0,1,0,0,2017-09-15
"11",2009,34,0.487624397555295,"Estado","stable",0.487624397555295,0.487624397555295,0.487624397555295,0.487624397555295,0,1,0,0,2017-09-15
"11",2009,35,0.853342695721766,"Estado","stable",0.853342695721766,0.853342695721766,0.853342695721766,0.853342695721766,0,1,0,0,2017-09-15
"11",2009,36,0.304765248472059,"Estado","stable",0.304765248472059,0.304765248472059,0.304765248472059,0.304765248472059,0,1,0,0,2017-09-15
"11",2009,37,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,38,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,39,0.121906099388824,"Estado","stable",0.121906099388824,0.121906099388824,0.121906099388824,0.121906099388824,0,1,0,0,2017-09-15
"11",2009,40,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,41,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,42,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,43,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,44,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,45,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,46,0.121906099388824,"Estado","stable",0.121906099388824,0.121906099388824,0.121906099388824,0.121906099388824,0,1,0,0,2017-09-15
"11",2009,47,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,48,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,49,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,50,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2009,51,0.0609530496944119,"Estado","stable",0.0609530496944119,0.0609530496944119,0.0609530496944119,0.0609530496944119,1,0,0,0,2017-09-15
"11",2009,52,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,1,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,2,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,3,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,4,0.120229156772809,"Estado","stable",0.120229156772809,0.120229156772809,0.120229156772809,0.120229156772809,0,1,0,0,2017-09-15
"11",2010,5,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,6,0.0601145783864045,"Estado","stable",0.0601145783864045,0.0601145783864045,0.0601145783864045,0.0601145783864045,1,0,0,0,2017-09-15
"11",2010,7,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,8,0,"Estado","stable",0,0,0,0,1,0,0,0,2017-09-15
"11",2010,9,0.240458313545618,"Estado","stable",0.240458313545618,0.240458313545618,0.240458313545618,0.240458313545618,0,1,0,0,2017-09-15
"11",2010,10,0.480916627091236,"Estado","stable",0.480916627091236,0.480916627091236,0.480916627091236,0.480916627091236,0,1,0,0,2017-09-15
"11",2010,11,0.961833254182472,"Estado","stable",0.961833254182472,0.961833254182472,0.961833254182472,0.961833254182472,0,0,1,0,2017-09-15
