UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
11,1805788,0.895588324680478,0,0.1971416400962016,0.9715918890615428,1.3275106999282749,12.0,3.0,18.0,8.0,5.0,10.0,2017,Rondônia,Estado,srag,incidência
12,829619,0.9682103846423872,0,0.6141512839147326,1.5068526229993298,2.0717468717438416,16.0,4.0,33.0,8.0,2.0,14.0,2017,Acre,Estado,srag,incidência
13,4063614,0.12524102816428015,0,0.04064307983794127,0.16711542008111446,0.21099603037220693,12.0,4.0,37.0,11.0,6.0,14.0,2017,Amazonas,Estado,srag,incidência
14,522636,0.9851347934717416,0,0.4106841006556807,1.1616221670241862,1.6838525739193582,34.0,13.0,37.0,4.0,1.0,8.0,2017,Roraima,Estado,srag,incidência
15,8366628,0.2558504896958729,0,0.07845572447225536,0.4826245964805183,0.9066519372362329,13.0,11.0,19.0,10.0,6.0,12.0,2017,Pará,Estado,srag,incidência
16,797722,0.5393366867992978,1,0.06267847696315257,0.6272340220362229,0.8547884792690605,,,,,,,2017,Amapá,Estado,srag,incidência
17,1550194,0.20586901037023228,0,0.14252045849362127,0.2439791186380085,0.31174105462706203,22.0,16.0,46.0,7.0,1.0,19.0,2017,Tocantins,Estado,srag,incidência
21,7000229,0.07184068542390118,1,0.007142623477031966,0.07863974275753205,0.1021367426375286,,,,,,,2017,Maranhão,Estado,srag,incidência
22,3218485,0.15051622420972013,0,0.1226795741895714,0.2074541033011713,0.2745083746569663,12.0,5.0,14.0,8.0,6.0,10.0,2017,Piauí,Estado,srag,incidência
23,9021232,0.12297403193169705,0,0.03485471661647318,0.17544295532251608,0.22470576240390486,12.0,2.0,47.0,9.0,5.0,15.0,2017,Ceará,Estado,srag,incidência
24,3507003,0.36256153065782537,0,0.15615515267291827,0.4277607339223332,0.6520176035049299,16.0,1.0,21.0,10.0,4.0,11.0,2017,Rio Grande do Norte,Estado,srag,incidência
25,4025558,0.0489156446099964,0,0.03482697773905805,0.05437301656206661,0.06945979947988268,26.0,9.0,44.0,6.0,1.0,11.0,2017,Paraíba,Estado,srag,incidência
