UF,População,Média geométrica do pico de infecção das temporadas regulares,limiar pré-epidêmico,intensidade alta,intensidade muito alta,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,Unidade da Federação
11,1768204,,0.2827728022332265,0.565545604466453,1.131091208932906,,,,,Rondônia
12,803513,0.8661814764037952,0.7370951569796834,1.244534935962455,2.48906987192491,32.0,[22.0-46.0],3.0,[1.0-10.0],Acre
13,3938336,0.153754794499501,0.12695717175984983,0.25391434351969966,0.5078286870393993,,,,,Amazonas
14,505665,,0.988796930774327,1.977593861548654,3.955187723097308,,,,,Roraima
15,8175113,0.2563066583443461,0.09636033120576198,0.2821980118243374,0.496661941476064,14.0,[11.0-19.0],10.0,[8.0-13.0],Pará
16,766679,0.32673238048903885,0.6521634217188681,1.3043268434377362,2.6086536868754724,,,,,Amapá
17,1515126,,0.33000555729358483,0.6600111145871697,1.3200222291743393,,,,,Tocantins
21,6904241,0.07600302488558296,0.07241925651204817,0.14483851302409634,0.2896770260481927,,,,,Maranhão
22,3204028,0.1989363856854878,0.15605356757181899,0.31210713514363797,0.6242142702872759,,,,,Piauí
23,8904459,0.12838034616276953,0.05615164267700036,0.12629291992714134,0.22460657070800144,,,,,Ceará
24,3442175,0.3423299599971307,0.15635830433457737,0.29051399188013394,0.5810279837602679,16.0,[12.0-21.0],5.0,[1.0-16.0],Rio Grande do Norte
25,3972202,0.05275190803527908,0.12587476669111994,0.2517495333822399,0.5034990667644798,,,,,Paraíba
26,9345173,0.3715219706264869,0.27073441807504045,0.4740316868947326,0.5685105279237023,17.0,[15.0-20.0],4.0,[1.0-20.0],Pernambuco
27,3340932,,0.1496588377135482,0.2993176754270964,0.5986353508541928,,,,,Alagoas
28,2242937,,0.22292199914665461,0.44584399829330923,0.8916879965866185,,,,,Sergipe
29,15203934,0.1387343182784048,0.06111400873406598,0.11147416034167969,0.1694686696209306,17.0,[10.0-28.0],10.0,[7.0-15.0],Bahia
31,20869101,0.45944345668905334,0.39185864864390596,0.745259947635479,0.9912072420022031,21.0,[14.0-30.0],10.0,[6.0-15.0],Minas Gerais
32,3929911,0.1346858525414791,0.12722934437955466,0.2544586887591093,0.5089173775182186,,,,,Espírito Santo
33,16550024,0.13880968914707842,0.078626933993414,0.16457449781762903,0.23272064185195634,18.0,[15.0-22.0],11.0,[8.0-15.0],Rio de Janeiro
35,44396484,0.44533273954348873,0.18682705956920798,0.4333759571147368,0.5692551141745033,16.0,[11.0-24.0],13.0,[11.0-15.0],São Paulo
41,11163018,1.894637308835576,0.6799213305545939,1.8589230374378247,2.774198668273608,17.0,[11.0-26.0],12.0,[9.0-16.0],Paraná
42,6819190,0.5018099001838594,0.4108602573482077,0.6050400250644031,0.7626574069182968,22.0,[17.0-29.0],10.0,[6.0-16.0],Santa Catarina
43,11247972,0.8230377026764449,0.33793707985290977,1.1629180101577385,1.9831762503387804,20.0,[18.0-22.0],14.0,[12.0-16.0],Rio Grande do Sul
50,2651235,0.44228722485180794,0.5705953716406137,1.0087903213166292,1.5200163491915566,21.0,[17.0-26.0],11.0,[4.0-24.0],Mato Grosso do Sul
51,3265486,0.16864427552038413,0.15311656519121503,0.30623313038243005,0.6124662607648601,,,,,Mato Grosso
52,6610681,0.3091477930362998,0.19952142203339435,0.2843442999312939,0.37403279304188003,21.0,[12.0-36.0],7.0,[4.0-11.0],Goiás
53,2914830,0.4123334224121405,0.26056792988428545,0.4722572271800323,0.6861463618804526,16.0,[10.0-25.0],11.0,[9.0-13.0],Distrito Federal
