UF,População,isoweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação
AfAmN,15957510,1,0.01216592864070804,0.018336117915355356,0.027635639673310508,Região 1
AfAmN,15957510,2,0.01224687147405053,0.018336117915355356,0.027452988374884656,Região 1
AfAmN,15957510,3,0.009152395462409934,0.017933520867064786,0.03513956231571797,Região 1
AfAmN,15957510,4,0.009920275779796598,0.027358897359192547,0.07545246536746784,Região 1
AfAmN,15957510,5,0.005582996137521431,0.013695260976550891,0.03359489575056467,Região 1
AfAmN,15957510,6,0.005692386632890558,0.018336117915355363,0.0590636655393678,Região 1
AfAmN,15957510,7,0.006568401894763362,0.019751984258678343,0.059396621644926394,Região 1
AfAmN,15957510,8,0.006844757526407296,0.033448238885848726,0.16345132464495576,Região 1
AfAmN,15957510,9,0.01687456802041443,0.03539061404592937,0.074223859303106,Região 1
AfAmN,15957510,10,0.023652173729897655,0.0497865661844803,0.10479807060221365,Região 1
AfAmN,15957510,11,0.035995261093971206,0.0497865661844803,0.0688619028480055,Região 1
AfAmN,15957510,12,0.04239876447797249,0.06364832616090568,0.09554781779524991,Região 1
AfAmN,15957510,13,0.04546913554079161,0.057972392250525806,0.07391383678789672,Região 1
AfAmN,15957510,14,0.03933307522450853,0.06164896608907578,0.09662593118281929,Região 1
AfAmN,15957510,15,0.07603024875493036,0.10977598418283033,0.15849963535108846,Região 1
AfAmN,15957510,16,0.09544191685931368,0.11335058979163613,0.13461963704114313,Região 1
AfAmN,15957510,17,0.044783456161297995,0.08938290163854255,0.17839853799023558,Região 1
AfAmN,15957510,18,0.03268740783123899,0.07153477134874245,0.15655030029718017,Região 1
AfAmN,15957510,19,0.07763751391520964,0.15466847566326847,0.3081285857520555,Região 1
AfAmN,15957510,20,0.06670999548244018,0.1317228727559928,0.26009468418655013,Região 1
AfAmN,15957510,21,0.05610499564239245,0.15181675424780328,0.4108070343191111,Região 1
AfAmN,15957510,22,0.02033229993886908,0.08890716873841706,0.3887649049466572,Região 1
AfAmN,15957510,23,0.045929128239456586,0.14287784108320398,0.4444690821512274,Região 1
AfAmN,15957510,24,0.0420166151585214,0.10809585606227184,0.2780974634379993,Região 1
AfAmN,15957510,25,0.04744762739427999,0.10406838767038093,0.2282564989460005,Região 1
AfAmN,15957510,26,0.05351198275849177,0.08449543327087632,0.13341830886466555,Região 1
AfAmN,15957510,27,0.017757126991387102,0.04730171672074968,0.12600306377350917,Região 1
AfAmN,15957510,28,0.011505734595120387,0.03151205726797691,0.08630563698917533,Região 1
AfAmN,15957510,29,0.010765198455946305,0.03173014680046172,0.09352379522764209,Região 1
AfAmN,15957510,30,0.028283263415961497,0.040180533391384096,0.05708235431930435,Região 1
AfAmN,15957510,31,0.021208074618361418,0.030530603139289035,0.04395107735247977,Região 1
AfAmN,15957510,32,0.02048521041291759,0.02536182843130393,0.031399352431024694,Região 1
AfAmN,15957510,33,0.020106872827078112,0.030160466819984934,0.04524093660026401,Região 1
AfAmN,15957510,34,0.023823190122935545,0.04905830841925125,0.10102415388278892,Região 1
AfAmN,15957510,35,0.025230218927301627,0.041252955688159496,0.06745111320329153,Região 1
AfAmN,15957510,36,0.008768808507008828,0.02132667061216321,0.051868720708881606,Região 1
AfAmN,15957510,37,0.00495168896983652,0.018503546593264485,0.06914433410796668,Região 1
AfAmN,15957510,38,0.01596352946670168,0.03405268809775237,0.07263967339438218,Região 1
AfAmN,15957510,39,0.01883740056731913,0.03265981600627667,0.05662477568239392,Região 1
AfAmN,15957510,40,0.02046027522955128,0.03173014680046172,0.04920765750622464,Região 1
AfAmN,15957510,41,0.0055026216341442285,0.015783502197132947,0.045272773265218995,Região 1
AfAmN,15957510,42,0.013491018946521594,0.028744287388636828,0.06124326566849683,Região 1
AfAmN,15957510,43,0.01447582494523919,0.024702515908285632,0.0421540253842177,Região 1
AfAmN,15957510,44,0.006302141877216784,0.014819895783788527,0.03484994710073839,Região 1
AfAmN,15957510,45,0.011142520104250127,0.021673559494293504,0.04215771448090136,Região 1
AfAmN,15957510,46,0.008481266416898472,0.016689021659699394,0.03283984139479127,Região 1
AfAmN,15957510,47,0.008823623478967611,0.02298828133629752,0.05989161709545164,Região 1
AfAmN,15957510,48,0.007535570479726406,0.01984670330014903,0.052270977087118614,Região 1
AfAmN,15957510,49,0.00980377515632026,0.0234362035884562,0.05602491182036906,Região 1
AfAmN,15957510,50,0.01064421149776967,0.023985736427883864,0.05404961674319074,Região 1
AfAmN,15957510,51,0.013932122287397958,0.028744287388636828,0.05930424959217455,Região 1
AfAmN,15957510,52,0.009016719060178396,0.022436601970651116,0.05582974301735266,Região 1
AsBSh,66931747,1,0.00741687684685153,0.01941057056293432,0.05079904350017509,Região 2
AsBSh,66931747,2,0.005815175985290259,0.017378053920585754,0.0519325225634959,Região 2
AsBSh,66931747,3,0.009514862086174313,0.01944910939174682,0.03975547440480311,Região 2
AsBSh,66931747,4,0.011452270215439085,0.021962035763490973,0.04211662891315769,Região 2
AsBSh,66931747,5,0.013346309196280515,0.023827061864076373,0.04253826797544473,Região 2
AsBSh,66931747,6,0.004746643407569596,0.014273181016601185,0.04291952835719256,Região 2
AsBSh,66931747,7,0.01706216912130629,0.02421937719718592,0.03437887806932375,Região 2
AsBSh,66931747,8,0.009386468776259474,0.019486639809973887,0.040454950645985296,Região 2
AsBSh,66931747,9,0.022147428873796275,0.03417489823057887,0.05273405214328293,Região 2
AsBSh,66931747,10,0.02214926448915196,0.03499205110580798,0.05528145827104879,Região 2
AsBSh,66931747,11,0.04223919158239514,0.04633238065896169,0.050822220243951,Região 2
AsBSh,66931747,12,0.038251631918525465,0.04906304279658212,0.06293018226219618,Região 2
AsBSh,66931747,13,0.03903990645641953,0.05747958641477876,0.0846288619595486,Região 2
AsBSh,66931747,14,0.03629165297767279,0.05276616438651192,0.07671924190880271,Região 2
AsBSh,66931747,15,0.03223914982999874,0.058261986403285185,0.1052899681770771,Região 2
AsBSh,66931747,16,0.034950868559706534,0.05861196288707341,0.09829118230944806,Região 2
AsBSh,66931747,17,0.03796899105857521,0.06187259819983536,0.10082486527209618,Região 2
AsBSh,66931747,18,0.0324061170356533,0.06404376678147163,0.126568822146971,Região 2
AsBSh,66931747,19,0.036297974530406736,0.07230444229812022,0.14402821214342884,Região 2
AsBSh,66931747,20,0.03947224641436804,0.0714439090605212,0.12931192433958014,Região 2
AsBSh,66931747,21,0.05289623169391848,0.0897811270176164,0.1523861059743526,Região 2
AsBSh,66931747,22,0.04467150750742831,0.08059370577359454,0.14540242254507824,Região 2
AsBSh,66931747,23,0.04476621938419385,0.07898174780464026,0.1393487449261432,Região 2
AsBSh,66931747,24,0.03942834721434109,0.07656871587047757,0.1486942432099078,Região 2
AsBSh,66931747,25,0.03182840049060878,0.06369057085967217,0.12744871730603682,Região 2
AsBSh,66931747,26,0.021560862135342772,0.049929297056234764,0.115623145720286,Região 2
AsBSh,66931747,27,0.024157206563665243,0.04887360831016855,0.09887855133252471,Região 2
AsBSh,66931747,28,0.02061659372298218,0.04999854310175446,0.12125447811057682,Região 2
AsBSh,66931747,29,0.02932993171370699,0.057542753907521275,0.1128938369029383,Região 2
AsBSh,66931747,30,0.019331462482744186,0.04524225510393388,0.105882400191735,Região 2
AsBSh,66931747,31,0.02248684279887745,0.04549561897522959,0.09204721909838755,Região 2
AsBSh,66931747,32,0.02203118353580965,0.04453622362595399,0.09003035227939647,Região 2
AsBSh,66931747,33,0.015094616793636387,0.03824999303520549,0.09692607551389232,Região 2
AsBSh,66931747,34,0.02165100399442431,0.04385412838294648,0.08882657712885839,Região 2
AsBSh,66931747,35,0.016199325820293504,0.03947067094189915,0.09617275940286354,Região 2
AsBSh,66931747,36,0.016424880649904938,0.03731688439734483,0.08478295159684204,Região 2
AsBSh,66931747,37,0.012077980301826927,0.03419991648449334,0.09684022148714709,Região 2
AsBSh,66931747,38,0.00628020306248496,0.025676606076375234,0.10497878699808816,Região 2
AsBSh,66931747,39,0.01398775041792757,0.035255623160349005,0.08886053348732072,Região 2
AsBSh,66931747,40,0.01701945321565614,0.03863536889754713,0.08770503440594848,Região 2
AsBSh,66931747,41,0.007443935075204898,0.02584634346960886,0.08974197974592153,Região 2
AsBSh,66931747,42,0.012095303607155695,0.030744852407614338,0.07814983238674325,Região 2
AsBSh,66931747,43,0.03545592463974851,0.048218469907676635,0.06557496000628933,Região 2
AsBSh,66931747,44,0.005810447942260129,0.024022391792558828,0.09931683635577482,Região 2
AsBSh,66931747,45,0.005790198661734705,0.022457526469774388,0.08710245098732416,Região 2
AsBSh,66931747,46,0.004738165568657529,0.019803803803997218,0.08277267635000239,Região 2
AsBSh,66931747,47,0.00768303555844872,0.023401844808364256,0.07127994348959386,Região 2
AsBSh,66931747,48,0.013104191314772093,0.029449376925083204,0.06618232139956406,Região 2
AsBSh,66931747,49,0.0072475002331248315,0.021260871317304288,0.06236973227058144,Região 2
AsBSh,66931747,50,0.010412983263849297,0.025369585987104194,0.06180898181134234,Região 2
AsBSh,66931747,51,0.013755743550711968,0.023734706130711988,0.040952804407443304,Região 2
AsBSh,66931747,52,0.0040988809240024675,0.011240256363597824,0.030823867651180715,Região 2
Aw,27065627,1,0.007813406849728944,0.022069231584353123,0.06233529010980733,Região 3
Aw,27065627,2,0.008581027247598157,0.020678611854718754,0.04983144510557315,Região 3
