UF,isoweek,SRAG2013
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0.1735896133
11,10,0.1157264089
11,11,0
11,12,0.0578632044
11,13,0.0578632044
11,14,0
11,15,0
11,16,0.0578632044
11,17,0
11,18,0.0578632044
11,19,0.0578632044
11,20,0
11,21,0
11,22,0.2893160222
11,23,0.1735896133
11,24,0.0578632044
11,25,0.1157264089
11,26,0.0578632044
11,27,0
11,28,0
11,29,0.1735896133
11,30,0
11,31,0.1157264089
11,32,0.1157264089
11,33,0.0578632044
11,34,0
11,35,0
11,36,0
11,37,0
11,38,0
11,39,0
11,40,0
11,41,0
11,42,0.1735896133
11,43,0
11,44,0.0578632044
11,45,0
11,46,0.0578632044
11,47,0
11,48,0
11,49,0
11,50,0
11,51,0
11,52,0
12,1,0.2575782748
12,2,0.2575782748
12,3,0.2575782748
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0.2575782748
12,10,0.2575782748
12,11,0.643945687
12,12,0.3863674122
12,13,0.1287891374
12,14,0.2575782748
12,15,0.2575782748
12,16,0.2575782748
12,17,0.2575782748
12,18,0.3863674122
12,19,0
12,20,0.3863674122
12,21,0.2575782748
12,22,0.2575782748
12,23,0.3863674122
12,24,0.5151565496
12,25,0
12,26,0.1287891374
12,27,0.2575782748
12,28,0.5151565496
12,29,0.2575782748
12,30,0.2575782748
12,31,0.1287891374
12,32,0.7727348245
12,33,0.7727348245
12,34,0.9015239619
12,35,0.643945687
12,36,0.7727348245
12,37,1.4166805115
12,38,0.643945687
12,39,0.2575782748
12,40,0.3863674122
12,41,0.643945687
12,42,0.643945687
12,43,0
12,44,0.3863674122
12,45,0.2575782748
12,46,0.1287891374
12,47,0.1287891374
12,48,0.1287891374
12,49,0.3863674122
12,50,0.2575782748
12,51,0.3863674122
12,52,0.643945687
13,1,0
13,2,0
13,3,0
13,4,0.026261049
13,5,0.026261049
13,6,0.026261049
13,7,0
13,8,0
13,9,0.026261049
13,10,0.026261049
13,11,0
13,12,0.026261049
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0.026261049
13,20,0.052522098
13,21,0
13,22,0
13,23,0
13,24,0
13,25,0.078783147
13,26,0
13,27,0.052522098
13,28,0.078783147
13,29,0
13,30,0.026261049
13,31,0.026261049
13,32,0.026261049
13,33,0
13,34,0
13,35,0.026261049
13,36,0.026261049
13,37,0.026261049
13,38,0
13,39,0
13,40,0.052522098
13,41,0
13,42,0
13,43,0
13,44,0
13,45,0.026261049
13,46,0
13,47,0
13,48,0
13,49,0
13,50,0
13,51,0.026261049
13,52,0
14,1,0
14,2,0
14,3,0.2048878034
14,4,0
14,5,0.2048878034
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0.2048878034
14,12,0
14,13,0
14,14,0
14,15,0.2048878034
14,16,0
14,17,0
14,18,0.2048878034
14,19,0
14,20,0.4097756069
14,21,0.4097756069
14,22,0.2048878034
14,23,0.4097756069
14,24,0.2048878034
14,25,0
14,26,0
14,27,0
14,28,0
14,29,0.2048878034
14,30,0.2048878034
14,31,0.2048878034
14,32,0.4097756069
14,33,0
14,34,0
14,35,0.2048878034
14,36,0
14,37,0
14,38,0.2048878034
14,39,0
14,40,0
14,41,0
14,42,0
14,43,0
14,44,0
14,45,0
14,46,0
14,47,0
14,48,0
14,49,0
14,50,0
14,51,0
14,52,0
15,1,0.0125475962
15,2,0.0125475962
15,3,0.0125475962
15,4,0.0125475962
15,5,0.0125475962
15,6,0
15,7,0.0125475962
15,8,0.0501903847
15,9,0.1254759617
15,10,0.0878331732
15,11,0.0125475962
15,12,0.075285577
15,13,0.075285577
15,14,0.150571154
15,15,0.225856731
15,16,0.3764278851
15,17,0.5144514429
15,18,0.6022846161
15,19,0.6273798085
15,20,0.7779509625
15,21,0.9285221165
15,22,0.9787125012
15,23,0.5520942314
15,24,0.4642610583
15,25,0.3387850966
15,26,0.150571154
15,27,0.1756663464
15,28,0.0878331732
15,29,0.1129283655
15,30,0.0376427885
15,31,0.0376427885
15,32,0.0125475962
15,33,0.0250951923
15,34,0.0627379808
15,35,0.0376427885
15,36,0.0125475962
15,37,0.0627379808
15,38,0.0376427885
15,39,0.0376427885
15,40,0.0250951923
15,41,0.0125475962
15,42,0.0250951923
15,43,0.0250951923
15,44,0.0250951923
15,45,0.0125475962
15,46,0
15,47,0.0125475962
15,48,0.0250951923
15,49,0.0250951923
15,50,0.0250951923
15,51,0.0250951923
15,52,0.0125475962
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
16,20,0.1360551622
16,21,0
16,22,0
16,23,0
16,24,0
16,25,0
16,26,0
16,27,0
16,28,0
16,29,0
16,30,0
16,31,0
16,32,0
16,33,0
16,34,0
16,35,0
16,36,0
16,37,0
16,38,0.1360551622
16,39,0
16,40,0
16,41,0
16,42,0
16,43,0
16,44,0
16,45,0
16,46,0
16,47,0
16,48,0.1360551622
16,49,0
16,50,0
16,51,0
16,52,0
17,1,0
17,2,0.067651492
17,3,0
17,4,0.067651492
17,5,0.067651492
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0.067651492
17,12,0
17,13,0.067651492
17,14,0.067651492
17,15,0
17,16,0.067651492
17,17,0.202954476
17,18,0.067651492
17,19,0.135302984
17,20,0.2706059679
17,21,0.067651492
17,22,0
17,23,0.067651492
17,24,0.067651492
17,25,0.2706059679
17,26,0.067651492
17,27,0.067651492
17,28,0.067651492
17,29,0
17,30,0
17,31,0
17,32,0
17,33,0
17,34,0.067651492
17,35,0.067651492
17,36,0.067651492
17,37,0.067651492
17,38,0
17,39,0.067651492
17,40,0
17,41,0
17,42,0.067651492
17,43,0
17,44,0
17,45,0
17,46,0
17,47,0
17,48,0
17,49,0
17,50,0
17,51,0
17,52,0.135302984
21,1,0
21,2,0
21,3,0
21,4,0.0147182175
21,5,0
21,6,0
21,7,0.0147182175
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0.0441546526
21,20,0.0588728701
21,21,0.0147182175
21,22,0
21,23,0
21,24,0
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
21,40,0
21,41,0
21,42,0
21,43,0
21,44,0
21,45,0
21,46,0
21,47,0.0147182175
21,48,0
21,49,0
21,50,0
21,51,0
21,52,0
22,1,0
22,2,0
22,3,0.0942161935
22,4,0
22,5,0
22,6,0
22,7,0.0628107957
22,8,0
22,9,0
22,10,0.0628107957
22,11,0.2198377848
22,12,0.188432387
22,13,0.2512431827
22,14,0.1256215913
22,15,0.188432387
22,16,0.1256215913
22,17,0.0314053978
22,18,0.0628107957
22,19,0.0628107957
22,20,0.0628107957
22,21,0.188432387
22,22,0.0628107957
22,23,0.0942161935
22,24,0.0314053978
22,25,0.0628107957
22,26,0.1256215913
22,27,0.0314053978
22,28,0.0942161935
22,29,0
22,30,0.1256215913
22,31,0.1256215913
22,32,0.1256215913
22,33,0.0942161935
22,34,0.0314053978
22,35,0.0314053978
22,36,0
22,37,0.0314053978
22,38,0.0314053978
22,39,0.1256215913
22,40,0
22,41,0.0628107957
22,42,0
22,43,0.0628107957
22,44,0
22,45,0
22,46,0.0314053978
22,47,0
22,48,0.0314053978
22,49,0.0314053978
22,50,0
22,51,0
22,52,0.0628107957
23,1,0.0341741075
23,2,0.0113913692
23,3,0.0113913692
23,4,0.0227827383
23,5,0.0227827383
23,6,0.0227827383
23,7,0.0341741075
23,8,0.0455654767
23,9,0.0569568458
23,10,0.0569568458
23,11,0
23,12,0.0341741075
23,13,0.0341741075
23,14,0.0341741075
23,15,0.1253050609
23,16,0.1480877992
23,17,0.1139136917
23,18,0.1480877992
23,19,0.1480877992
23,20,0.13669643
23,21,0.1139136917
23,22,0.13669643
23,23,0.1253050609
23,24,0.0797395842
23,25,0.0455654767
23,26,0
23,27,0.0911309534
23,28,0.0569568458
23,29,0.1025223225
23,30,0.0227827383
23,31,0.068348215
23,32,0.068348215
23,33,0.0569568458
23,34,0.0341741075
23,35,0.0227827383
23,36,0.0341741075
23,37,0.0113913692
23,38,0.0227827383
23,39,0.0227827383
23,40,0.0341741075
23,41,0.0455654767
23,42,0.0569568458
23,43,0
23,44,0.0227827383
23,45,0
23,46,0
23,47,0
23,48,0
23,49,0.0227827383
23,50,0.0341741075
23,51,0
23,52,0.0113913692
24,1,0.0296387715
24,2,0.0296387715
24,3,0.0889163146
24,4,0.0296387715
24,5,0.0592775431
24,6,0
24,7,0.0296387715
24,8,0.0592775431
24,9,0.1481938577
24,10,0.0592775431
24,11,0.326026487
24,12,0.1185550862
24,13,0.1185550862
24,14,0.2074714008
24,15,0.1185550862
24,16,0.1185550862
24,17,0.0889163146
24,18,0.1481938577
24,19,0.0889163146
24,20,0.326026487
24,21,0.4445815732
24,22,0.2667489439
24,23,0.1778326293
24,24,0.2963877154
24,25,0.1778326293
24,26,0.1185550862
24,27,0.1778326293
24,28,0.2371101724
24,29,0.1185550862
24,30,0.1481938577
24,31,0.1778326293
24,32,0.1185550862
24,33,0.2371101724
24,34,0.2667489439
24,35,0.0889163146
24,36,0.1185550862
24,37,0.0889163146
24,38,0
24,39,0.0889163146
24,40,0.0889163146
24,41,0.0592775431
24,42,0.1185550862
24,43,0.0296387715
24,44,0.1481938577
24,45,0.0889163146
24,46,0.0296387715
24,47,0
24,48,0.0296387715
24,49,0.0296387715
24,50,0.0296387715
24,51,0
24,52,0.0296387715
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0.0255465623
25,12,0.0255465623
25,13,0
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
25,19,0
25,20,0.0255465623
25,21,0.0510931246
25,22,0.0255465623
25,23,0.0255465623
25,24,0.0255465623
25,25,0.0255465623
25,26,0.0255465623
25,27,0
25,28,0.0510931246
25,29,0
25,30,0.0255465623
25,31,0
25,32,0.0255465623
25,33,0.0510931246
25,34,0.0255465623
25,35,0
25,36,0.0255465623
25,37,0.0255465623
25,38,0
25,39,0
25,40,0.0255465623
25,41,0
25,42,0
25,43,0
25,44,0
25,45,0
25,46,0
25,47,0
25,48,0
25,49,0.0255465623
25,50,0
25,51,0
25,52,0.0255465623
26,1,0
26,2,0.0542973649
26,3,0.0977352569
26,4,0.1411731489
26,5,0.1520326219
26,6,0.1411731489
26,7,0.2823462977
26,8,0.1520326219
26,9,0.2063299868
26,10,0.2823462977
26,11,0.1846110408
26,12,0.1954705138
26,13,0.1194542029
26,14,0.1628920948
26,15,0.1846110408
26,16,0.2171894598
26,17,0.2714868247
26,18,0.3800815546
26,19,0.3583626087
26,20,0.1520326219
26,21,0.3366436627
26,22,0.2171894598
26,23,0.2823462977
26,24,0.2063299868
26,25,0.1085947299
26,26,0.2714868247
26,27,0.3475031357
26,28,0.1954705138
26,29,0.2714868247
26,30,0.1628920948
26,31,0.2823462977
26,32,0.3040652437
26,33,0.2280489328
26,34,0.3040652437
26,35,0.2932057707
26,36,0.2714868247
26,37,0.3040652437
26,38,0.3149247167
26,39,0.1846110408
26,40,0.4126599736
26,41,0.3149247167
26,42,0.2714868247
26,43,0.2063299868
26,44,0.2932057707
26,45,0.2714868247
26,46,0.1520326219
26,47,0.2171894598
26,48,0.2280489328
26,49,0.1520326219
26,50,0.1954705138
26,51,0.0651568379
26,52,0.0977352569
27,1,0
27,2,0
27,3,0
27,4,0.0302944469
27,5,0
27,6,0.0302944469
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0.0605888938
27,14,0
27,15,0
27,16,0.0605888938
27,17,0.0302944469
27,18,0.0302944469
27,19,0.0908833406
27,20,0.0302944469
27,21,0.0908833406
27,22,0.0605888938
27,23,0.0605888938
27,24,0.1211777875
27,25,0.0302944469
27,26,0
27,27,0.0302944469
27,28,0.0302944469
27,29,0
27,30,0
27,31,0.0605888938
27,32,0.0302944469
27,33,0
27,34,0
27,35,0
27,36,0.0302944469
27,37,0
27,38,0.0302944469
27,39,0.0302944469
27,40,0
27,41,0
27,42,0.0302944469
27,43,0
27,44,0
27,45,0
27,46,0
27,47,0
27,48,0
27,49,0
27,50,0
27,51,0
27,52,0
28,1,0
28,2,0
28,3,0.0455443506
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0.0455443506
28,12,0
28,13,0
28,14,0
28,15,0
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,0
28,22,0
28,23,0
28,24,0
28,25,0
28,26,0
28,27,0
28,28,0
28,29,0.0455443506
28,30,0
28,31,0
28,32,0
28,33,0
28,34,0
28,35,0
28,36,0
28,37,0
28,38,0
28,39,0
28,40,0
28,41,0.0455443506
28,42,0.0455443506
28,43,0
28,44,0
28,45,0.0455443506
28,46,0
28,47,0
28,48,0
28,49,0
28,50,0
28,51,0
28,52,0
29,1,0.0132942155
29,2,0
29,3,0
29,4,0.0199413233
29,5,0
29,6,0.0332355389
29,7,0.0199413233
29,8,0.0132942155
29,9,0.0265884311
29,10,0.0265884311
29,11,0
29,12,0.0265884311
29,13,0.0199413233
29,14,0.0332355389
29,15,0.0265884311
29,16,0.0265884311
29,17,0.0066471078
29,18,0.0199413233
29,19,0.0265884311
29,20,0.0332355389
29,21,0.0265884311
29,22,0.0731181855
29,23,0.0930595088
29,24,0.0531768622
29,25,0.0731181855
29,26,0.1196479399
29,27,0.0398826466
29,28,0.05982397
29,29,0.0664710777
29,30,0.0731181855
29,31,0.1196479399
29,32,0.0997066166
29,33,0.0997066166
29,34,0.1528834788
29,35,0.1794719099
29,36,0.1329421555
29,37,0.0664710777
29,38,0.0398826466
29,39,0.0398826466
29,40,0.0864124011
29,41,0.0265884311
29,42,0.0398826466
29,43,0.0199413233
29,44,0.0132942155
29,45,0.0465297544
29,46,0.0398826466
29,47,0.0265884311
29,48,0.0066471078
29,49,0.0199413233
29,50,0.0199413233
29,51,0.0132942155
29,52,0.0132942155
31,1,0.106830572
31,2,0.111686507
31,3,0.1262543123
31,4,0.1796695983
31,5,0.111686507
31,6,0.2233730141
31,7,0.1942374036
31,8,0.1845255334
31,9,0.2379408194
31,10,0.2282289492
