2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,"Código","Unidades da Federação"
1407886,1431777,1455907,1562085,1534594,1562417,1453756,1493566,1503928,1560501,1576455,1590011,1728214,1748531,1768204,1768204,11,"Rondônia"
574355,586942,600595,630328,669736,686652,655385,680073,691132,732793,746386,758786,776463,790101,803513,803513,12,"Acre"
2900240,2961801,3031068,3138726,3232330,3311026,3221940,3341096,3393369,3480937,3538387,3590985,3807921,3873743,3938336,3938336,13,"Amazonas"
337237,346871,357302,381896,391317,403344,395725,412783,421499,451227,460165,469524,488072,496936,505665,505665,14,"Roraima"
6341736,6453683,6574993,6850181,6970586,7110465,7065573,7321493,7431020,7603239,7688593,7792561,7969654,8073924,8175113,8175113,15,"Pará"
498735,516511,534835,547400,594587,615715,587311,613164,626609,668689,684309,698602,734996,750912,766679,766679,16,"Amapá"
1184895,1207014,1230181,1262644,1305728,1332441,1243627,1280509,1292051,1383453,1400892,1417694,1478164,1496880,1515126,1515126,17,"Tocantins"
5730467,5803224,5873655,6021504,6103327,6184538,6118995,6305539,6367138,6569683,6645761,6714314,6794301,6850884,6904241,6904241,21,"Maranhão"
2873010,2898223,2923725,2977259,3006885,3036290,3032435,3119697,3145325,3119015,3140328,3160748,3184166,3194718,3204028,3204028,22,"Piauí"
7547620,7654535,7758441,7976563,8097276,8217085,8185250,8450527,8547809,8448055,8530155,8606005,8778576,8842791,8904459,8904459,23,"Ceará"
2815244,2852784,2888058,2962107,3003087,3043760,3013740,3106430,3137541,3168133,3198657,3228198,3373959,3408510,3442175,3442175,24,"Rio Grande do Norte"
3468594,3494893,3518595,3568350,3595886,3623215,3641397,3742606,3769977,3766834,3791315,3815171,3914421,3943885,3972202,3972202,25,"Paraíba"
8008207,8084667,8161862,8323911,8413593,8502603,8486638,8734194,8810256,8796032,8864906,8931028,9208550,9277727,9345173,9345173,26,"Pernambuco"
2856629,2887535,2917664,2980910,3015912,3050652,3037231,3127557,3156108,3120922,3143384,3165472,3300935,3321730,3340932,3340932,27,"Alagoas"
1817301,1846039,1874613,1934596,1967791,2000738,1939426,1999374,2019679,2068031,2089819,2110867,2195662,2219574,2242937,2242937,28,"Sergipe"
13214114,13323212,13435612,13682074,13815334,13950146,14080670,14502575,14637364,14021432,14097534,14175341,15044137,15126371,15203934,15203934,29,"Bahia"
18127096,18343517,18553312,18993720,19237450,19479356,19273533,19850072,20033665,19595309,19728701,19855332,20593356,20734097,20869101,20869101,31,"Minas Gerais"
3155016,3201722,3250219,3352024,3408365,3464285,3351669,3453648,3487199,3512672,3547055,3578067,3839366,3885049,3929911,3929911,32,"Espírito Santo"
14558545,14724475,14879118,15203750,15383407,15561720,15420450,15872362,16010429,15993583,16112678,16231365,16369179,16461173,16550024,16550024,33,"Rio de Janeiro"
37630106,38177742,38709320,39825226,40442795,41055734,39827690,41011635,41384039,41252160,41587182,41901219,43663669,44035304,44396484,44396484,35,"São Paulo"
9694709,9798006,9906866,10135388,10261856,10387378,10284503,10590169,10686247,10439601,10512349,10577755,10997465,11081692,11163018,11163018,41,"Paraná"
5448736,5527707,5607233,5774178,5866568,5958266,5866487,6052587,6118743,6249682,6317054,6383286,6634254,6727148,6819190,6819190,42,"Santa Catarina"
10309819,10408540,10510992,10726063,10845087,10963219,10582887,10855214,10914128,10695532,10733030,10770603,11164043,11207274,11247972,11247972,43,"Rio Grande do Sul"
2111036,2140624,2169688,2230702,2264468,2297981,2265813,2336058,2360498,2449341,2477542,2505088,2587269,2619657,2651235,2651235,50,"Mato Grosso do Sul"
2560584,2604742,2651335,2749145,2803274,2856999,2854642,2957732,3001692,3033991,3075936,3115336,3182113,3224357,3265486,3265486,51,"Mato Grosso"
5116462,5210335,5306459,5508245,5619917,5730753,5647035,5844996,5926300,6004045,6080716,6154996,6434048,6523222,6610681,6610681,52,"Goiás"
2097447,2145839,2189789,2282049,2333108,2383784,2455903,2557158,2606885,2562963,2609998,2648532,2789761,2852372,2914830,2914830,53,"Distrito Federal"
12060189,12297585,12554700,13110616,13393150,13689619,13379690,13862175,14067557,14497386,14694295,14900469,15505320,15734147,15957510,15957510,"AfAmN","Região 1"
57441270,58069862,58684182,59984285,60700651,61414204,61156471,62989273,63576362,62895694,63375503,63841514,66024785,66486810,66931747,66931747,"AsBSh","Região 2"
21673901,22010001,22344832,23031548,23436707,23822786,23618450,24401689,24699889,25122491,25431173,25716708,26449822,26762090,27065627,27065627,"Aw","Região 3"
81210466,82255512,83287723,85454575,86653756,87843953,85835100,88359677,89136822,88232284,88878316,89488195,93052787,93785515,94495765,94495765,"Cf","Região 4"
172385826,174632960,176871437,181581024,184184264,186770562,183989711,189612814,191480630,190747855,192379287,193946886,201032714,202768562,204450649,204450649,"BR","Brasil"
