"Código","Unidade da Federação","População atual"
11,"Rondônia",1768204
12,"Acre",803513
13,"Amazonas",3938336
14,"Roraima",505665
15,"Pará",8175113
16,"Amapá",766679
17,"Tocantins",1515126
21,"Maranhão",6904241
22,"Piauí",3204028
23,"Ceará",8904459
24,"Rio Grande do Norte",3442175
25,"Paraíba",3972202
26,"Pernambuco",9345173
27,"Alagoas",3340932
28,"Sergipe",2242937
29,"Bahia",15203934
31,"Minas Gerais",20869101
32,"Espírito Santo",3929911
33,"Rio de Janeiro",16550024
35,"São Paulo",44396484
41,"Paraná",11163018
42,"Santa Catarina",6819190
43,"Rio Grande do Sul",11247972
50,"Mato Grosso do Sul",2651235
51,"Mato Grosso",3265486
52,"Goiás",6610681
53,"Distrito Federal",2914830
"AfAmN","Região 1",15957510
"AsBSh","Região 2",66931747
"Aw","Região 3",27065627
"Cf","Região 4",94495765
